ID,Wind speed in km/h,Waterfowl population,Wave Action,Turbidity of water (NTUs)
3629,5,2,Moderate,14.5
3639,33,29,Moderate,1.97
3640,33,108,Low,1.61
3649,17,134,Low,2.26
3650,17,71,Low,2.36
3659,5,68,Low,0.45
3660,5,23,Low,2.05
3669,18,39,Moderate,1.7
3670,18,27,Moderate,4.23
3679,11,8,Low,0.3
3680,11,27,Low,0.35
3689,13,37,Low,1.11
3690,13,121,Low,1.17
3699,13,18,Low,0.87
3700,13,67,Low,0.89
3707,21,32,Low,1.22
3708,21,84,Low,0.72
3717,17,23,Low,1.01
3718,17,47,Low,2.2
3727,9,35,Low,1.02
3728,9,42,Low,2.85
3737,5,14,Low,5.39
3738,5,23,Low,1.03
3747,22,20,Low,3.94
3748,22,45,Low,0.82
3757,21,14,Low,1.23
3758,21,20,Low,2.87
3767,11,63,Low,0.69
3768,11,271,Low,1.72
3777,15,45,Moderate,2.95
3778,15,46,Low,0.83
3787,4,25,Low,1.54
3788,4,34,Low,1.14
3797,28,33,Moderate,1.34
3798,28,17,Low,1.21
3807,4,31,Low,0.46
3808,4,63,Low,9.3
3817,18,59,Low,0.94
3818,18,63,Low,1.42
3827,30,30,High,1.55
3828,30,70,Low,1.42
3840,8,15,Low,0.74
3841,8,29,Low,1.04
3850,18,23,Low,0.69
3851,18,54,Low,1
3860,17,67,Low,1.15
3861,17,137,Low,0.95
3870,18,35,Low,1.25
3871,18,20,Moderate,0.88
3880,15,23,Moderate,7.82
3881,15,76,Low,1.11
3890,17,43,Low,2.23
3891,17,62,Low,1.51
3900,9,20,Moderate,0.56
3901,9,40,Low,0.86
3920,5,25,Low,0.8
3921,5,20,Low,1.24
3930,13,31,Low,0.65
3931,13,93,Low,0.59
3941,21,30,Low,13.3
3959,5,59,Low,1.51
3960,5,48,Low,1.29
3969,11,21,Low,0.97
3970,11,56,Low,0.77
3979,8,40,Low,0.82
3980,8,20,Low,1.19
3989,17,48,Low,1.67
3990,17,71,Low,0.85
4009,15,19,Low,1.18
4010,15,27,Low,0.8
4019,13,5,High,2.12
4020,13,15,Low,2.33
4029,11,43,Low,4.33
4030,11,62,Low,0.78
4039,8,8,Low,0.95
4040,8,26,Low,0.62
4049,5,24,Low,1
4050,5,98,Low,1.05
4059,15,45,Low,1.87
4060,15,40,Low,2.82
4069,13,9,Moderate,1.44
4070,13,17,Low,0.87
4079,11,45,Low,3.09
4080,11,35,High,0.9
4090,5,20,Low,0.78
4099,21,19,Moderate,1.68
4100,21,23,Low,2.31
4109,9,37,Low,1.51
4110,9,78,Low,2.86
4119,8,25,Low,1.09
4120,8,120,Low,0.79
4129,20,33,Low,1.33
4130,20,178,Low,1.16
4139,4,41,Low,1
4140,4,62,Low,1.53
4149,21,103,Moderate,1.17
4150,21,67,Moderate,1.18
4159,11,14,Low,4.27
4160,11,87,Low,5.15
4171,8,30,Low,1.27
4180,5,24,Low,1.57
4181,5,108,Low,1.01
4200,5,31,Low,1.37
4201,5,104,Low,1.47
4210,21,18,Low,18.4
4211,21,15,Low,15
4221,5,13,Moderate,2.33
4226,5,19,Low,2.2
4227,5,51,Low,1
4237,9,14,Low,1.17
4246,28,5,Low,4.45
4247,28,8,Low,2.46
4256,18,12,Moderate,5.2
4257,18,71,Moderate,2.8
4265,18,20,Low,8.57
4266,21,3,Low,1.87
4267,21,3,Low,0.86
4276,56,9,Low,21.82
4277,56,18,Low,17.52
4279,8,20,Low,1.34
4280,8,15,Low,0.92
4289,11,23,Low,3.59
4290,11,28,Low,1.62
4309,9,58,Low,1.65
4319,5,1,Low,3.29
4320,5,28,Low,4.28
4339,9,26,Low,2.44
